Unnamed: 0,titles,category
0.0,공지영미안해죽겠다사과에진중권이보인반응,Politics
1.0,이준석제지대빅텐트론에국공합작선결조건은일본침략,Politics
2.0,양이원영이언주복당에정권심판같이할수있다당원에사과해야,Politics
3.0,김건희디올에김정숙샤넬로맞불이종배검찰수사의뢰,Politics
4.0,몸낮춘김경율도이치주가조작이재명피습송영길돈봉투더밝힐게없다,Politics
5.0,욕나눠먹고의석챙기자병립형불때는민주,Politics
6.0,부적격판정전병헌전정무수석왕조민주당떠난다,Politics
7.0,갈라치기정책안돼전국민물음프로젝트돌입한이낙연,Politics
8.0,민생토론회재개한대통령교통격차해소통해삶의질확실히개선종합,Politics
9.0,올해부터본격시대열겠다노선연장전국대도시확대,Politics
10.0,명예훼손이진동뉴스버스대표첫검찰조사김만배와관련없어,Politics
11.0,나라망신내상입은국민외신김건희디올백상세보도,Politics
12.0,진중권미안해죽겠다는공지영에뭘사과까지돌아와반갑다,Politics
13.0,서천시장화재피해상인윤석열한동훈만나지못해속상,Politics
14.0,뉴스포커스트럼프바이든리턴매치가시화북불화살첫시험발사,Politics
15.0,윤한갈등이약속대련이준석의프레임기술신당거부후회없다,Politics
16.0,자세낮춘김경율도이치모터스사건더이상밝혀질게없어,Politics
17.0,김여사명품백의혹해결은용산에서국힘선긋고지켜보기모드,Politics
18.0,전병헌민주당탈당민주당왕조형사당으로변질,Politics
19.0,잘생긴할아버지가어딨어요아이한마디에이재명웃음터졌다,Politics
20.0,뉴스라이브신형순항미사일불화살어떤무기인가,Politics
21.0,안철수약속대련주장이준석에모든게음모론,Politics
22.0,고민정윤석열대통령머릿속에는김건희만가득한듯녹취록,Politics
23.0,연장예타없이설계착수충청권연내시작,Politics
24.0,한동훈정치개혁이포퓰리즘기꺼이포퓰리스트할것,Politics
25.0,여이재명피습현안질의집단불참경찰길들이기선동정치,Politics
26.0,이준석유승민모시고싶은마음굴뚝같아국민의힘에대한마지막마음도타들어가고있을것,Politics
27.0,김건희에몸낮춘김경율도이치주가조작더밝혀질것없어,Politics
28.0,수도권출퇴근분시대열린다교통격차해소조원투입,Politics
29.0,빅텐트민주당계열통합부터지연좌우합작도주춤,Politics
30.0,전대통령딸또다시표적이될아버지의미심장한게시글,Politics
31.0,홍익표김건희여사명품백논란사과로끝날일아냐,Politics
32.0,윤대통령광주전남부울경등전국에경제효과조,Politics
33.0,잘생긴할아버지가어딨어요아이물음에이재명웃음터졌다,Politics
34.0,인요한한동훈과최근에몰래만났다힘내시라고마움표현,Politics
35.0,기자들피한김경율도이치모터스더밝혀질것없어명품백은침묵,Politics
36.0,파주운정에서서울역까지분수도권시대열린다,Politics
37.0,다시표적될아버지문재인딸다혜씨의미심장한게시글,Politics
38.0,춘천원주아산까지연결수도권출퇴근분시대,Politics
39.0,또다시표적이될아버지의무탈기원문재인딸이에남긴생일축하,Politics
40.0,정의당이은주의원직사퇴기호번지키기용,Politics
41.0,인요한우리가뽑은대통령의영부인더품격있게대해야,Politics
42.0,김건희여사명품백논란윤석열대통령대리입장설명,Politics
43.0,이준석디올백논란김건희여사진짜사과하기싫을것,Politics
44.0,순항미사일화살불화살명칭변경핵탑재단계왔나,Politics
45.0,한동훈의입호준석명품백논란시스템으로재발막아야,Politics
46.0,박지원윤한갈등불씨꺼진게아니라잠복용서할김건희아니다,Politics
47.0,현장연결번째민생토론회윤대통령교통격차해소로국민삶의질개선,Politics
48.0,김경율이재명피습송영길돈봉투도이치더밝혀질것없는사건들,Politics
49.0,현장영상교통격차해소통해국민삶의질확실히개선할것,Politics
50.0,는충청강원연결하고지방엔구축전국시대,Politics
51.0,정치쇼이준석대리사과로타협점국민들수사대상이라생각할것,Politics
52.0,유영하김무성과화해하고싶다용어적절한가,Politics
53.0,노선춘천연장노선원주신설공식화수도권강원시간생활권실현,Politics
54.0,당직자선물에한동훈나는공무원아니니까받아도되죠,Politics
55.0,이낙연신당이석현이준석에복수혈전찍나분당서안철수랑붙으면만관객,Politics
56.0,속보대통령완공되면서울출퇴근분충청강원까지초연결경제광역생활권,Politics
57.0,발사순항미사일은불화살형전술핵탄두화산탑재시사위협종합,Politics
58.0,미안해죽겠다는공지영에진중권돌아와반갑다,Politics
59.0,광주행이낙연에출마설모락모락이석현가능성매우낮다,Politics
60.0,이석현이낙연지역구출마가능성낮아이준석안철수랑붙어라,Politics
61.0,이재명이언주에복당권유용기와결단에박수,Politics
62.0,생일에딸다혜씨의미심장글다시표적될아버지,Politics
63.0,김건희백뇌물수사받아야이재명에이상민본인이나잘양심같은게없나여의도초대석,Politics
64.0,인요한이준석만날기회끝내안줘문전박대보다힘들었다,Politics
65.0,잘생긴할아버지가어딨어요아이의말에웃음터진이재명,Politics
66.0,인요한김건희마리앙투아네트비유부적절품격있어야,Politics
67.0,도이치사건또언급한김경율더밝혀질게없다,Politics
68.0,불화살은허풍기존미사일위장했을가능성,Politics
69.0,한동훈입호준석김경율역할대체안돼제부속실설치해야,Politics
70.0,김건희엄호인요한우리가뽑은대통령의영부인을더품격있게대해야,Politics
71.0,안철수이준석양향자합당제지대빅텐트가속화어려울것,Politics
72.0,인요한언론이너무김건희에집중마리앙투아네트비유부적절,Politics
73.0,뒤늦은사과김건희리스크스텝꼬인대통령실,Politics
74.0,다시표적이될아버지문재인생일날딸이남긴글,Politics
75.0,정치쇼김종민이낙연신당과통합최종결론안났다,Politics
76.0,화학적결합시작된제지대물밑에선주도권싸움치열이런정치,Politics
77.0,강신업왜디올김건희만사과해야하는가마녀사냥,Politics
78.0,명품백논란직접설명사천논란김경률사과갈등해소모드로이런정치,Politics
79.0,국민의힘중대재해처벌법서민에게타격줄것,Politics
80.0,잘생긴할아버지어딨어요이재명할아버지아니고아저씨,Politics
81.0,비대위대변인김여사문제특별감찰관제부속실로우려풀어야,Politics
82.0,이재명김건희디올백논란에뇌물받았으면수사받아야,Politics
83.0,이준석유승민에러브콜모시고픈마음굴뚝같아,Politics
84.0,박지원두고보시라결국한동훈물러날것,Politics
85.0,중대재해법유예쌍특검재표결안오늘처리힘들듯,Politics
86.0,선노리는나경원선이상페널티감수할수있어야중진경쟁의건강한축,Politics
87.0,양이원영공관위경고에정치적토론자유롭게보장돼야,Politics
88.0,김남국햄버거집서소개팅좀비싸서하나나눠먹었다,Politics
89.0,신성식동기한동훈에검사선서버렸나김건희특검결단내려라,Politics
90.0,이석현이준석분당갑안철수랑붙어라그럼천만관객,Politics
91.0,생일날의미심장한글남긴다혜씨다시표적이될아버지,Politics
92.0,인구대책없인국가없다미래세대위한저출생특별회계필요,Politics
93.0,청년에죄송한동훈에박용진명품가방가리려청년이용하는게후진정치,Politics
94.0,민주당권역별병립형비례제가닥여당과협상여지있다,Politics
95.0,잘생긴할아버지어딨어요동심에이재명빵터졌다,Politics
96.0,안철수김경율논란에사천아냐조금실수있었다,Politics
97.0,양낙규의미항모척동시에한반도집결,Politics
98.0,분노한서천시장상인들대통령사진만찍고사라져,Politics
99.0,전격시사양이원영의원더불어민주당이재명있어야정권심판가능현재저희의사명은윤석열정권심판,Politics
0.0,속보한동훈대통령실사퇴요구거절제임기는총선이후까지,Politics
1.0,민주강성희제압규탄결의안국힘폭력전과범,Politics
2.0,이준석국민서초동사투리동의안해이낙연극단세력변방으로밀어내야,Politics
3.0,한동훈사퇴요구거절김여사관련입장변한적없다종합,Politics
4.0,한동훈사퇴요구거절제임기는총선후까지이어지는것으로알고있어,Politics
5.0,멘토부활신평한동훈물러나라자기암시걸고지도자환상에완전히젖어,Politics
6.0,정성호한동훈용산충돌에김건희특검수용재압박,Politics
7.0,이준석의노회찬소환맞지않는얘기신당강령부터말하라,Politics
8.0,조국신당창당묻자정권심판않으면민주진영어떻게될지몰라,Politics
9.0,임종석퇴장주장에뺄셈정치안돼이재명만으로선거못치러,Politics
10.0,이용호강제퇴장강성희계획된도발오죽하면내가손풀라요구,Politics
11.0,출근길한동훈내임기는총선이후까지사퇴일축,Politics
12.0,대통령한동훈김건희명품백논란으로루비콘강건넜다,Politics
13.0,이용호강성희강퇴사건계획된도발내가손풀라요구,Politics
14.0,임종석한동훈우두머리밥그릇에손얹었다가한대맞은느낌,Politics
15.0,한동훈선민후사내임기는총선이후까지사퇴요구일축,Politics
16.0,전격시사장동혁한동훈비대위원장과공관위는독립적공천개입없어김경율원희룡공관위에서정해진기준에따라경선진행예정,Politics
17.0,한동훈반격사퇴거부김여사관련입장안변해,Politics
18.0,박근혜도사과해서탄핵당한것이용에사과불가,Politics
19.0,신평한동훈스스로물러나야지도자환상에완전히젖어,Politics
20.0,트리거된디올백사과해야사과순간들개처럼,Politics
21.0,한동훈대통령실김여사이슈엇박자사퇴요구저항녹취록,Politics
22.0,디샌티스대선후보사퇴공화트럼프헤일리양자대결구도종합보,Politics
23.0,역린건드렸나대통령실사퇴요구한동훈일축뉴스쏙속,Politics
24.0,한동훈총선앞명품백논란에국민눈높이해법고심,Politics
25.0,당대통령실총선앞정면충돌양상한동훈홀로서기신호탄,Politics
26.0,조국정당민주주의박살내는폭군윤석열중전마마건드린한동훈에사퇴종용,Politics
27.0,저출산에급했나호르몬치료안받은트랜스여성병역의무부과이현호기자의밀리터리톡,Politics
28.0,한달도안돼최대위기배경엔명품백논란,Politics
29.0,법무장관출신에공정기대했다가깨져이대로가면안된다결론,Politics
30.0,한동훈사퇴설에유승민김기현내쫓고또개싸움검사들수준이,Politics
31.0,여야는위성정당않겠다는대국민약속을해라유창선의시시비비,Politics
32.0,한동훈사퇴요구설유승민이건또무슨막장드라마,Politics
33.0,민주당격전지군산벌써부터공천경쟁치열,Politics
34.0,신평한동훈에사퇴요구환호에도취환상에완전히젖었다,Politics
35.0,유승민한동훈사퇴요구설에이건또무슨막장드라마,Politics
36.0,안철수내로남불정권답습할건가김건희가방사건입장표명해야,Politics
37.0,월데일리안출근길뉴스빅텐트골든타임지났다는이준석에휘둘리는낙준연대어디로등,Politics
38.0,장경태김경율투입정청래가부럽다나오면땡큐,Politics
39.0,윤심거스르면바로교체이준석김기현이어한동훈도,Politics
40.0,뉴스돋보기총선일앞두고한동훈사퇴요구배경은,Politics
41.0,김경율앙투아네트발언뭐길래한동훈사퇴설에주목,Politics
42.0,윤석열한동훈갈등설에정성호보기민망즉각김건희특검수용해야,Politics
43.0,윤석열총장명의만원권현금봉투나도받았다,Politics
